,max_sum_non_zero
fudu_1257,161.0803
fudu_858,160.8815
fudu_744,160.6966
fudu_52,159.5942
fudu_39,159.5143
fudu_1200,159.0801
fudu_54,158.6922
fudu_913,158.64
fudu_753,158.5398
fudu_1189,157.9399
fudu_766,157.4715
fudu_857,157.0164
fudu_36,156.6441
fudu_295,156.4419
fudu_760,155.9075
fudu_924,155.6185
fudu_35,155.2115
fudu_44,155.1078
fudu_1383,155.0388
fudu_1203,155.002
fudu_914,154.8162
fudu_301,154.8073
fudu_252,154.7786
fudu_296,154.2762
fudu_251,154.2226
fudu_631,154.2112
fudu_365,153.9957
fudu_1121,153.7606
fudu_906,153.6888
fudu_43,153.472
fudu_42,153.3007
fudu_915,153.0556
fudu_314,152.9735
fudu_247,152.7407
fudu_523,152.4933
fudu_859,151.2692
fudu_947,151.1334
fudu_1192,150.8597
fudu_34,150.719
fudu_1252,150.4516
fudu_918,149.9933
fudu_632,149.9658
fudu_912,149.2045
fudu_1202,149.0364
fudu_919,148.9942
fudu_322,148.8202
fudu_1377,148.7953
fudu_944,148.74
fudu_749,148.0792
fudu_1196,147.0007
fudu_630,146.8137
fudu_916,146.7222
fudu_1250,146.6192
fudu_907,146.6156
fudu_250,146.5733
fudu_1123,145.8651
fudu_362,145.7521
fudu_903,145.0919
fudu_905,145.0015
fudu_1191,144.8725
fudu_1382,144.8707
fudu_245,144.5237
fudu_528,144.5117
fudu_249,144.4512
fudu_860,144.3952
fudu_626,144.3547
fudu_627,144.2712
fudu_909,144.2232
fudu_321,144.2173
fudu_908,144.1648
fudu_1299,143.7855
fudu_312,143.7651
fudu_1391,143.3568
fudu_149,143.2464
fudu_629,143.2404
fudu_904,142.6719
fudu_147,142.6425
fudu_925,142.405
fudu_728,141.9843
fudu_931,141.8521
fudu_1199,141.8132
fudu_633,141.7876
fudu_930,141.4911
fudu_324,140.6702
fudu_1376,140.2468
fudu_649,140.221
fudu_416,140.1386
fudu_933,139.9954
fudu_323,139.6586
fudu_1197,139.4005
fudu_647,139.3421
fudu_1297,139.3368
fudu_166,139.1553
fudu_920,139.1488
fudu_366,138.8539
fudu_174,138.7179
fudu_345,138.6533
fudu_921,138.5631
fudu_175,137.866
fudu_1119,137.7105
fudu_335,137.4853
fudu_1120,137.482
fudu_987,137.4622
fudu_750,137.42
fudu_767,137.4009
fudu_1194,136.976
fudu_334,136.9611
fudu_727,136.8792
fudu_752,136.7669
fudu_46,136.3066
fudu_56,136.1343
fudu_1375,135.9612
fudu_313,135.8998
fudu_57,135.7995
fudu_47,135.6605
fudu_943,135.1845
fudu_763,135.1347
fudu_310,134.7909
fudu_360,134.7798
fudu_911,134.7333
fudu_741,134.5551
fudu_331,134.389
fudu_1386,134.3485
fudu_927,134.1819
fudu_634,133.879
fudu_646,133.652
fudu_148,133.4586
fudu_389,133.0927
fudu_1118,132.9088
fudu_1373,132.77
fudu_359,132.1429
fudu_1122,132.0557
fudu_929,131.2644
fudu_311,131.149
fudu_729,131.0127
fudu_58,131.0102
fudu_55,130.9236
fudu_414,130.8518
fudu_625,130.5845
fudu_1198,130.385
fudu_645,130.3752
fudu_1249,129.8789
fudu_917,129.4064
fudu_525,129.1913
fudu_945,129.0783
fudu_731,128.8809
fudu_1195,128.775
fudu_1394,128.6393
fudu_732,128.4864
fudu_926,127.8293
fudu_330,127.651
fudu_596,127.4344
fudu_939,127.2034
fudu_1374,127.0364
fudu_527,127.0011
fudu_1201,126.8421
fudu_449,126.5554
fudu_244,126.1802
fudu_1385,126.1677
fudu_984,125.9816
fudu_946,125.9785
fudu_66,125.9015
fudu_988,125.8084
fudu_439,125.7402
fudu_538,125.2185
fudu_742,125.0831
fudu_329,125.01
fudu_940,124.53
fudu_595,124.4058
fudu_902,124.3307
fudu_932,123.8005
fudu_241,123.7545
fudu_928,123.6322
fudu_635,123.6105
fudu_948,123.604
fudu_59,123.5893
fudu_743,123.4318
fudu_524,123.278
fudu_320,123.2229
fudu_142,123.1816
fudu_1393,123.1301
fudu_242,123.1063
fudu_1395,123.0225
fudu_176,122.9673
fudu_628,122.5081
fudu_318,122.2784
fudu_751,121.926
fudu_150,121.9165
fudu_328,121.8559
fudu_332,121.6505
fudu_1381,121.4903
fudu_390,120.9655
fudu_650,120.6235
fudu_344,120.2489
fudu_167,119.402
fudu_326,119.3495
fudu_141,119.2787
fudu_1304,118.971
fudu_1384,118.4907
fudu_361,118.3737
fudu_768,118.1293
fudu_989,117.9782
fudu_450,117.9479
fudu_172,117.8221
fudu_348,117.4566
fudu_65,117.3557
fudu_243,116.8202
fudu_140,116.5915
fudu_347,115.9386
fudu_861,115.9324
fudu_145,115.9156
fudu_1392,115.7363
fudu_343,115.6653
fudu_593,115.4699
fudu_235,115.4079
fudu_62,115.2895
fudu_177,115.2404
fudu_61,115.0322
fudu_592,114.932
fudu_1300,114.9139
fudu_173,114.7415
fudu_1298,114.6756
fudu_1380,114.5512
fudu_60,114.5356
fudu_648,114.1973
fudu_379,114.1923
fudu_1378,113.7123
fudu_441,113.6607
fudu_1363,113.5322
fudu_1303,113.5192
fudu_1397,113.4355
fudu_942,112.3632
fudu_725,112.1938
fudu_63,112.1754
fudu_1379,111.9562
fudu_415,111.9257
fudu_358,111.6522
fudu_388,111.3345
fudu_67,111.1557
fudu_624,111.1545
fudu_1248,110.9774
fudu_163,110.828
fudu_451,110.7122
fudu_333,110.651
fudu_949,110.5177
fudu_1398,110.5026
fudu_165,110.3044
fudu_1117,110.2245
fudu_164,110.126
fudu_849,109.6896
fudu_139,109.6345
fudu_526,109.6162
fudu_1372,109.5453
fudu_453,109.4449
fudu_240,109.2946
fudu_985,109.2838
fudu_446,109.2704
fudu_239,109.1136
fudu_938,108.9731
fudu_1396,108.8659
fudu_1324,108.6226
fudu_941,108.4983
fudu_319,108.4876
fudu_325,108.3603
fudu_1370,108.2808
fudu_887,108.2136
fudu_160,108.1943
fudu_594,108.054
fudu_730,108.0407
fudu_636,107.8897
fudu_146,107.3671
fudu_854,107.3044
fudu_733,107.2735
fudu_1371,107.0817
fudu_899,107.0151
fudu_1305,106.9659
fudu_855,106.9362
fudu_740,106.4063
fudu_856,106.3131
fudu_315,106.2917
fudu_1301,105.9261
fudu_621,105.8388
fudu_387,105.7291
fudu_317,105.3125
fudu_901,104.6463
fudu_346,103.9311
fudu_888,103.931
fudu_937,103.9163
fudu_853,103.8158
fudu_1323,103.6341
fudu_894,103.6264
fudu_1364,103.6065
fudu_644,102.7156
fudu_850,102.5868
fudu_151,102.5767
fudu_539,102.3559
fudu_448,102.3055
fudu_637,102.2276
fudu_442,102.1339
fudu_898,102.0657
fudu_350,101.6118
fudu_64,101.5048
fudu_456,101.4415
fudu_316,101.2632
fudu_352,101.1602
fudu_934,101.072
fudu_152,101.0327
fudu_1365,100.9889
fudu_1361,100.8379
fudu_337,100.4947
fudu_848,100.369
fudu_341,100.3584
fudu_412,100.1929
fudu_986,100.1433
fudu_1366,100.08
fudu_889,99.7962
fudu_993,99.6339
fudu_380,99.5795
fudu_181,99.3362
fudu_69,99.3029
fudu_623,99.2821
fudu_991,98.9911
fudu_236,98.937
fudu_724,98.9341
fudu_138,98.9311
fudu_982,98.8304
fudu_784,98.7751
fudu_170,98.5903
fudu_983,98.5504
fudu_891,98.5493
fudu_734,97.9509
fudu_643,97.8924
fudu_979,97.841
fudu_342,97.8209
fudu_1367,97.7659
fudu_604,97.6045
fudu_452,97.3766
fudu_153,97.2924
fudu_445,97.2579
fudu_161,97.2057
fudu_1360,97.1683
fudu_336,96.8334
fudu_447,96.5453
fudu_895,96.37
fudu_651,96.3296
fudu_874,96.301
fudu_769,96.2455
fudu_156,96.0782
fudu_726,95.5931
fudu_68,95.4013
fudu_990,95.1188
fudu_890,94.9392
fudu_1322,94.4986
fudu_995,94.4784
fudu_936,94.4497
fudu_349,94.3494
fudu_847,94.3443
fudu_180,94.1849
fudu_852,93.8273
fudu_178,93.695
fudu_782,93.5251
fudu_351,93.524
fudu_862,93.4809
fudu_1107,93.4331
fudu_392,93.1641
fudu_353,92.9539
fudu_171,92.6911
fudu_844,92.5973
fudu_851,92.5212
fudu_381,92.508
fudu_378,92.3636
fudu_1246,92.3093
fudu_843,92.035
fudu_620,91.8579
fudu_1245,91.6127
fudu_231,91.5648
fudu_71,91.2943
fudu_935,91.2235
fudu_638,90.998
fudu_642,90.8616
fudu_619,90.8141
fudu_70,90.7555
fudu_958,90.5243
fudu_641,90.3216
fudu_179,90.2659
fudu_892,90.126
fudu_639,89.9311
fudu_980,89.8415
fudu_785,89.8341
fudu_1362,89.4968
fudu_1302,89.4304
fudu_603,88.9766
fudu_973,88.947
fudu_622,88.63
fudu_607,88.5924
fudu_234,88.5372
fudu_237,88.1921
fudu_1116,88.0492
fudu_1306,88.0235
fudu_770,88.0098
fudu_900,87.7882
fudu_376,87.1273
fudu_327,86.4277
fudu_997,86.3639
fudu_162,86.1319
fudu_786,86.1048
fudu_356,85.8152
fudu_873,85.66
