,max_sum_non_zero
fudu_566,14.6133
fudu_1044,14.4628
fudu_825,14.4378
fudu_402,14.357
fudu_188,14.3479
fudu_1222,14.3247
fudu_578,14.3196
fudu_1046,14.2158
fudu_1438,14.039
fudu_569,13.8907
fudu_206,13.7551
fudu_551,13.7293
fudu_201,13.6954
fudu_567,13.6646
fudu_470,13.5954
fudu_403,13.4195
fudu_1419,13.4143
fudu_1415,13.2401
fudu_824,13.1502
fudu_554,13.1305
fudu_827,13.0784
fudu_375,13.0116
fudu_1437,12.8746
fudu_561,12.8007
fudu_1049,12.691
fudu_1421,12.5886
fudu_204,12.585
fudu_575,12.5236
fudu_400,12.513
fudu_1223,12.1551
fudu_522,12.0322
fudu_205,11.9873
fudu_1420,11.8867
fudu_673,11.8788
fudu_467,11.6642
fudu_800,11.4302
fudu_1086,11.3533
fudu_399,11.1981
fudu_572,10.9007
fudu_1433,10.7853
fudu_408,10.7759
fudu_1428,10.5414
fudu_1426,10.4473
fudu_410,10.3865
fudu_1425,10.3023
fudu_792,9.9684
fudu_1423,9.9494
fudu_796,9.7502
fudu_1225,9.7361
fudu_409,9.5448
fudu_1435,9.3228
fudu_544,9.3032
fudu_469,9.2653
fudu_582,8.9415
fudu_136,8.9262
fudu_1038,8.8977
fudu_562,8.6886
fudu_200,8.4611
fudu_1417,8.4094
fudu_803,8.3177
fudu_545,8.2003
fudu_564,8.0386
fudu_1418,7.7841
fudu_1431,7.6291
fudu_683,7.2029
fudu_1034,7.2026
fudu_574,7.1462
fudu_186,7.1385
fudu_802,6.7045
fudu_1226,6.6175
fudu_1434,6.5502
fudu_801,5.785
fudu_793,5.7521
fudu_137,5.7162
fudu_565,5.5849
fudu_1424,5.4981
fudu_1224,5.4941
fudu_674,5.4291
fudu_1036,5.0827
fudu_1432,5.0107
fudu_1422,4.9689
fudu_187,4.1622
fudu_580,3.8649
fudu_563,3.8514
fudu_549,3.5864
fudu_682,3.0684
fudu_1429,2.3622
fudu_719,2.1411
fudu_1035,1.8446
fudu_207,0.7699
fudu_555,0.6967
fudu_676,0.2926
fudu_209,0.083
fudu_794,-0.3697
fudu_687,-1.6507
fudu_677,-2.0789
fudu_468,-2.1666
fudu_1430,-3.088
fudu_583,-3.5674
fudu_678,-4.181
fudu_686,-4.3318
fudu_679,-4.3545
fudu_79,-4.7542
fudu_689,-4.9303
fudu_557,-5.1726
fudu_684,-5.6409
fudu_681,-5.7838
fudu_548,-6.096
fudu_795,-6.1609
fudu_716,-6.8008
fudu_713,-6.8243
fudu_685,-7.0077
fudu_217,-7.0288
fudu_688,-7.4795
fudu_715,-7.6767
fudu_556,-7.9099
fudu_680,-8.5084
fudu_714,-8.9032
fudu_690,-9.962
fudu_718,-10.2576
fudu_216,-11.3778
fudu_222,-11.5903
fudu_369,-12.3132
fudu_371,-12.4591
fudu_208,-12.8703
fudu_133,-14.737
fudu_83,-14.7696
fudu_134,-14.8246
fudu_717,-14.997
fudu_691,-15.8632
fudu_219,-16.0329
fudu_220,-17.7313
fudu_218,-19.3446
fudu_210,-22.4821
fudu_221,-24.8678
fudu_695,-25.5585
fudu_699,-26.4784
fudu_84,-28.0819
fudu_132,-28.27
fudu_211,-31.5092
fudu_712,-32.2722
fudu_692,-32.6351
fudu_90,-32.7089
fudu_131,-33.3081
fudu_214,-35.3395
fudu_698,-36.1665
fudu_696,-37.4191
fudu_85,-37.7743
fudu_215,-38.2279
fudu_704,-39.4337
fudu_703,-39.7649
fudu_693,-39.9432
fudu_702,-41.1528
fudu_212,-41.3649
fudu_697,-41.7714
fudu_701,-42.3242
fudu_705,-42.4402
fudu_711,-44.1996
fudu_694,-45.3792
fudu_89,-46.4534
fudu_130,-46.7607
fudu_128,-47.3363
fudu_370,-49.8352
fudu_122,-51.5963
fudu_213,-51.8199
fudu_700,-53.0268
fudu_126,-53.5575
fudu_86,-54.5749
fudu_709,-55.6095
fudu_92,-56.3327
fudu_87,-56.882
fudu_124,-57.1473
fudu_706,-57.1777
fudu_129,-58.7735
fudu_88,-59.4682
fudu_91,-60.0112
fudu_121,-61.5666
fudu_93,-61.8785
fudu_708,-64.7948
fudu_710,-65.2858
fudu_127,-65.5271
fudu_123,-65.8042
fudu_125,-73.0453
fudu_94,-73.7149
fudu_107,-77.3508
fudu_95,-78.9374
fudu_707,-79.0412
fudu_102,-80.5948
fudu_108,-84.369
fudu_96,-85.6162
fudu_120,-87.0678
fudu_105,-87.3088
fudu_106,-87.5403
fudu_110,-89.7674
fudu_101,-90.7211
fudu_104,-90.7381
fudu_97,-91.1717
fudu_112,-94.4276
fudu_115,-95.9205
fudu_109,-96.9532
fudu_103,-97.7497
fudu_111,-98.2081
fudu_100,-98.4559
fudu_98,-98.7435
fudu_116,-99.0336
fudu_99,-100.4681
fudu_117,-106.1293
fudu_114,-106.9894
fudu_118,-107.6258
fudu_119,-119.6342
fudu_113,-133.8636
