,max_sum_non_zero,min_sum_non_zero
fudu_1027,31.5972,-129.2611
fudu_1350,31.3186,-129.4763
fudu_993,99.6339,-129.5128
fudu_1007,65.0601,-129.6315
fudu_998,81.0542,-129.9847
fudu_1319,67.8204,-131.1015
fudu_1326,83.3836,-131.1393
fudu_789,36.2315,-131.1477
fudu_1002,73.5561,-131.2011
fudu_414,130.8518,-131.355
fudu_536,173.1673,-131.5148
fudu_201,13.6954,-131.6155
fudu_60,114.5356,-131.7225
fudu_1012,56.3764,-131.9131
fudu_1022,51.7825,-132.0491
fudu_135,15.014,-132.2091
fudu_1015,59.3196,-132.3137
fudu_645,130.3752,-132.4146
fudu_1343,35.6435,-133.09
fudu_1026,27.2957,-133.2146
fudu_1447,35.4143,-133.4082
fudu_1198,130.385,-133.5157
fudu_1097,68.5507,-133.6285
fudu_600,34.4153,-133.65
fudu_517,39.6907,-133.6591
fudu_138,98.9311,-134.0636
fudu_534,177.9427,-134.369
fudu_809,30.4444,-134.4919
fudu_779,49.6819,-134.709
fudu_800,11.4302,-134.7901
fudu_803,8.3177,-134.8434
fudu_433,250.8996,-135.1854
fudu_207,0.7699,-135.3307
fudu_155,74.4214,-135.3349
fudu_150,121.9165,-135.5884
fudu_154,75.6636,-135.7883
fudu_1010,51.1443,-135.8477
fudu_1405,45.5315,-136.0502
fudu_537,166.9024,-136.2539
fudu_1331,73.9421,-136.2643
fudu_1404,48.8592,-136.4589
fudu_805,34.6128,-136.5782
fudu_725,112.1938,-136.6372
fudu_1038,8.8977,-136.7894
fudu_1104,52.2372,-136.9187
fudu_153,97.2924,-137.4463
fudu_1036,5.0827,-137.5262
fudu_772,55.7253,-137.9226
fudu_733,107.2735,-138.0668
fudu_345,138.6533,-138.1132
fudu_1016,52.1976,-138.288
fudu_1332,68.0185,-138.3654
fudu_1008,54.6657,-138.4549
fudu_532,187.8378,-138.7458
fudu_157,74.2349,-138.8859
fudu_315,106.2917,-139.0802
fudu_464,45.2394,-139.1267
fudu_223,15.6814,-139.7232
fudu_599,23.9227,-139.7796
fudu_807,28.7828,-140.0617
fudu_1322,94.4986,-140.2786
fudu_209,0.083,-140.3135
fudu_423,184.132,-140.3923
fudu_1079,34.514,-140.4431
fudu_1018,53.34,-140.4453
fudu_1017,52.7923,-140.7612
fudu_996,75.5216,-140.8621
fudu_1013,47.189,-140.9753
fudu_1339,45.4949,-141.3487
fudu_146,107.3671,-141.3527
fudu_648,114.1973,-141.4224
fudu_640,85.5271,-141.5133
fudu_197,34.8837,-141.6972
fudu_424,181.7043,-141.7263
fudu_726,95.5931,-142.1892
fudu_1098,60.1364,-142.2449
fudu_1317,60.7662,-142.3497
fudu_152,101.0327,-142.3731
fudu_535,166.5877,-142.3766
fudu_72,76.7866,-142.7147
fudu_1003,70.7463,-143.0581
fudu_200,8.4611,-143.2653
fudu_1407,48.5539,-143.422
fudu_790,33.0585,-143.4443
fudu_744,160.6966,-143.6688
fudu_650,120.6235,-143.6905
fudu_777,39.2789,-143.8176
fudu_347,115.9386,-143.8185
fudu_1337,52.3477,-143.8203
fudu_1035,1.8446,-143.9895
fudu_1093,48.0996,-144.3318
fudu_639,89.9311,-144.7256
fudu_1312,71.8014,-144.8044
fudu_198,29.0907,-144.8285
fudu_741,134.5551,-144.8403
fudu_151,102.5767,-144.999
fudu_1021,45.2122,-145.0505
fudu_588,44.3368,-145.1371
fudu_217,-7.0288,-145.188
fudu_1341,37.6568,-145.3027
fudu_1102,46.4622,-145.8711
fudu_136,8.9262,-145.945
fudu_1011,45.25,-146.1346
fudu_1330,61.2268,-146.227
fudu_1103,49.2459,-146.8266
fudu_1408,45.8452,-146.8478
fudu_1034,7.2026,-147.1993
fudu_778,37.9529,-147.3578
fudu_321,144.2173,-147.4805
fudu_802,6.7045,-147.8975
fudu_1076,21.6606,-147.9097
fudu_1316,55.7434,-148.138
fudu_1409,39.922,-148.1791
fudu_1262,186.1741,-148.3075
fudu_1340,37.538,-148.3501
fudu_1100,54.7254,-148.4522
fudu_1099,55.7883,-148.4556
fudu_734,97.9509,-148.5746
fudu_801,5.785,-148.633
fudu_797,21.8578,-148.641
fudu_513,46.8172,-148.744
fudu_1406,48.294,-148.812
fudu_379,114.1923,-148.8457
fudu_378,92.3636,-148.9508
fudu_1095,44.2227,-149.0779
fudu_386,176.8245,-149.3104
fudu_1014,45.0626,-149.3255
fudu_724,98.9341,-149.6176
fudu_425,201.8588,-149.6647
fudu_137,5.7162,-149.8304
fudu_1019,47.2532,-149.8955
fudu_349,94.3494,-149.9777
fudu_376,87.1273,-150.0024
fudu_185,23.3488,-150.1739
fudu_199,15.2949,-150.2262
fudu_318,122.2784,-150.2603
fudu_218,-19.3446,-150.267
fudu_377,78.9966,-150.4942
fudu_808,27.1066,-151.0153
fudu_1101,51.2929,-151.4223
fudu_1313,66.6953,-152.1142
fudu_1329,72.2854,-152.4372
fudu_195,31.7627,-152.5621
fudu_538,125.2185,-152.5802
fudu_344,120.2489,-152.593
fudu_208,-12.8703,-152.7526
fudu_381,92.508,-152.7754
fudu_1077,40.834,-153.1658
fudu_465,38.0096,-153.2099
fudu_1325,84.4499,-153.5481
fudu_994,81.8905,-153.8576
fudu_220,-17.7313,-154.6732
fudu_1092,43.6309,-155.159
fudu_196,23.4404,-155.3159
fudu_350,101.6118,-155.4475
fudu_210,-22.4821,-155.5996
fudu_1336,43.9572,-155.921
fudu_320,123.2229,-155.9936
fudu_740,106.4063,-156.048
fudu_144,80.8664,-156.436
fudu_194,28.6165,-156.6334
fudu_322,148.8202,-156.8682
fudu_216,-11.3778,-157.174
fudu_1080,32.2904,-157.6398
fudu_806,25.4594,-158.4482
fudu_1094,39.8381,-158.526
fudu_992,78.8748,-158.6118
fudu_384,183.5772,-158.9836
fudu_531,180.2762,-159.2653
fudu_380,99.5795,-159.5952
fudu_73,63.836,-159.7512
fudu_383,181.5671,-159.8074
fudu_796,9.7502,-161.0127
fudu_1327,82.7874,-161.3969
fudu_351,93.524,-161.4002
fudu_463,29.8292,-161.7767
fudu_742,125.0831,-161.8505
fudu_214,-35.3395,-161.8515
fudu_74,68.1146,-161.9253
fudu_1445,38.0644,-162.3051
fudu_1410,29.1412,-162.4873
fudu_189,18.6949,-162.9255
fudu_346,103.9311,-162.9666
fudu_587,40.7341,-163.4678
fudu_219,-16.0329,-163.8508
fudu_319,108.4876,-164.0962
fudu_385,201.1228,-164.5534
fudu_791,23.1902,-164.7117
fudu_1321,82.1458,-164.7234
fudu_1444,35.1325,-164.7681
fudu_143,58.3886,-164.819
fudu_508,56.9301,-165.2081
fudu_316,101.2632,-165.7624
fudu_1311,66.4331,-165.8484
fudu_736,80.7133,-166.1512
fudu_431,219.3298,-166.3033
fudu_774,47.4042,-166.5464
fudu_133,-14.737,-166.7349
fudu_1088,23.0112,-166.7794
fudu_1091,33.7411,-166.8041
fudu_539,102.3559,-166.8953
fudu_188,14.3479,-166.8982
fudu_317,105.3125,-167.0655
fudu_1020,34.9734,-167.4136
fudu_1335,53.6062,-167.4674
fudu_222,-11.5903,-167.7897
fudu_211,-31.5092,-167.9683
fudu_743,123.4318,-168.0714
fudu_75,49.1998,-168.1911
fudu_1217,35.9808,-168.3201
fudu_1085,22.6422,-168.7031
fudu_775,50.2671,-168.9286
fudu_721,68.603,-169.6058
fudu_792,9.9684,-169.8127
fudu_389,133.0927,-170.2866
fudu_723,70.8453,-170.2997
fudu_343,115.6653,-171.1074
fudu_364,206.5496,-171.4142
fudu_641,90.3216,-171.4622
fudu_1083,28.3964,-171.5618
fudu_659,73.9605,-171.6157
fudu_462,45.7364,-171.82
fudu_501,80.8161,-171.8746
fudu_1081,21.9384,-171.9532
fudu_428,196.8091,-172.7183
fudu_1320,63.667,-173.3284
fudu_1087,16.5687,-173.6677
fudu_134,-14.8246,-173.893
fudu_519,27.9543,-174.1589
fudu_642,90.8616,-174.1768
fudu_1084,15.9374,-174.5827
fudu_1315,59.0775,-174.6631
fudu_1443,25.7573,-174.713
fudu_1089,28.7776,-174.7386
fudu_363,180.2961,-174.8553
fudu_212,-41.3649,-175.4599
fudu_323,139.6586,-175.6341
fudu_1334,62.8714,-175.7816
fudu_1219,23.2875,-176.0315
fudu_390,120.9655,-176.2424
fudu_1086,11.3533,-176.6042
fudu_221,-24.8678,-176.9577
fudu_186,7.1385,-177.068
fudu_518,31.2058,-177.1041
fudu_528,144.5117,-177.4934
fudu_1004,72.614,-178.1142
fudu_776,34.9784,-178.1289
fudu_520,25.9696,-178.4344
fudu_1090,25.1267,-178.4951
fudu_663,62.6049,-178.5262
fudu_1082,22.6471,-178.6067
fudu_510,57.6498,-179.2699
fudu_643,97.8924,-179.2823
fudu_1314,58.1295,-179.4101
fudu_388,111.3345,-179.5427
fudu_460,33.8766,-179.6675
fudu_644,102.7156,-180.2422
fudu_215,-38.2279,-180.7948
fudu_1006,64.4821,-180.8068
fudu_493,41.4872,-180.9478
fudu_382,188.9258,-180.9485
fudu_530,170.7855,-181.2236
fudu_459,40.3236,-181.8131
fudu_529,165.1754,-181.9058
fudu_1216,41.5341,-182.1225
fudu_793,5.7521,-182.1927
fudu_522,12.0322,-182.1936
fudu_187,4.1622,-182.4537
fudu_1411,18.9867,-182.5298
fudu_1414,23.6254,-182.5844
fudu_1222,14.3247,-182.7269
fudu_76,37.4955,-182.8125
fudu_1328,70.1995,-182.8784
fudu_795,-6.1609,-183.0612
fudu_427,187.2823,-183.3537
fudu_1412,23.4518,-183.5228
fudu_688,-7.4795,-184.2036
fudu_739,74.4085,-184.3872
fudu_352,101.1602,-185.2878
fudu_353,92.9539,-185.5338
fudu_651,96.3296,-186.0795
fudu_426,174.9625,-186.1044
fudu_722,54.4138,-186.2727
fudu_365,153.9957,-186.5602
fudu_689,-4.9303,-187.6846
fudu_735,66.3567,-187.7655
fudu_502,64.7218,-187.8019
fudu_387,105.7291,-187.9885
fudu_540,62.6419,-190.0281
fudu_558,16.4245,-190.042
fudu_362,145.7521,-190.1414
fudu_737,69.3258,-190.1554
fudu_82,17.565,-190.3111
fudu_738,58.5553,-191.4317
fudu_794,-0.3697,-191.5042
fudu_662,61.3827,-191.8216
fudu_466,31.479,-191.9986
fudu_586,23.1876,-192.1204
fudu_690,-9.962,-192.2381
fudu_478,49.3623,-192.563
fudu_658,67.8095,-192.6857
fudu_366,138.8539,-192.777
fudu_521,15.7101,-193.1146
fudu_512,44.0759,-193.4165
fudu_499,60.3616,-194.0343
fudu_507,42.7641,-194.6262
fudu_461,28.6386,-195.2649
fudu_498,37.6894,-195.8704
fudu_213,-51.8199,-195.8859
fudu_374,53.0257,-196.3333
fudu_664,53.1313,-196.4405
fudu_686,-4.3318,-196.5037
fudu_687,-1.6507,-196.5209
fudu_525,129.1913,-196.7961
fudu_660,60.753,-196.8555
fudu_1005,58.7864,-197.035
fudu_77,19.4084,-197.2515
fudu_567,13.6646,-197.4372
fudu_355,83.212,-197.9323
fudu_132,-28.27,-198.0096
fudu_78,15.517,-198.0341
fudu_480,45.7655,-198.038
fudu_551,13.7293,-198.4523
fudu_81,26.4763,-198.5662
fudu_560,21.2093,-198.6086
fudu_1431,7.6291,-198.8678
fudu_661,58.3666,-199.062
fudu_1442,15.6084,-199.9276
fudu_691,-15.8632,-200.2614
fudu_1439,22.7352,-200.6641
fudu_1441,17.7628,-200.6731
fudu_1416,15.1256,-200.9193
fudu_1440,18.4086,-201.4451
fudu_471,30.3132,-201.4779
fudu_392,93.1641,-201.4908
fudu_695,-25.5585,-201.5572
fudu_324,140.6702,-201.7426
fudu_1433,10.7853,-202.1273
fudu_491,30.3898,-202.4603
fudu_509,45.5479,-202.5829
fudu_585,21.4894,-203.0967
fudu_552,29.3186,-203.2826
fudu_565,5.5849,-203.2945
fudu_80,19.5475,-204.0975
fudu_492,32.9017,-204.5944
fudu_495,56.0776,-205.2033
fudu_1221,17.2215,-205.6399
fudu_1413,21.3202,-205.6421
fudu_523,152.4933,-205.8592
fudu_505,37.1287,-207.1855
fudu_665,46.4812,-207.2169
fudu_397,43.1132,-207.2737
fudu_657,66.3577,-207.3603
fudu_562,8.6886,-207.8343
fudu_500,69.9619,-207.8569
fudu_342,97.8209,-207.9049
fudu_393,80.0918,-207.9536
fudu_474,40.5825,-208.0374
fudu_341,100.3584,-208.042
fudu_504,29.103,-208.2996
fudu_391,81.0297,-208.3201
fudu_541,30.6074,-208.3619
fudu_497,44.6161,-208.5092
fudu_473,34.0832,-208.6576
fudu_360,134.7798,-208.8228
fudu_83,-14.7696,-208.8319
fudu_489,26.3092,-208.8705
fudu_354,83.6751,-209.0766
fudu_375,13.0116,-209.1779
fudu_356,85.8152,-210.0517
fudu_553,33.0351,-210.137
fudu_1218,15.4438,-210.4715
fudu_566,14.6133,-210.6465
fudu_559,15.2555,-210.9231
fudu_494,37.4469,-211.0371
fudu_398,28.8749,-211.4911
fudu_1432,5.0107,-211.5796
fudu_477,45.1356,-211.8996
fudu_511,40.8759,-213.1219
fudu_550,30.1297,-213.1842
fudu_685,-7.0077,-213.3002
fudu_361,118.3737,-213.6042
fudu_131,-33.3081,-214.1112
fudu_584,15.6023,-214.1579
fudu_335,137.4853,-214.5039
fudu_1223,12.1551,-214.5786
fudu_684,-5.6409,-214.6063
fudu_1227,20.4705,-214.9941
fudu_527,127.0011,-215.4167
fudu_479,48.7129,-215.7652
fudu_475,50.7908,-215.9813
fudu_683,7.2029,-216.3006
fudu_483,42.6111,-217.3219
fudu_526,109.6162,-217.4606
fudu_334,136.9611,-217.9245
fudu_1438,14.039,-217.9946
fudu_563,3.8514,-218.4351
fudu_656,74.7665,-219.2571
fudu_1415,13.2401,-219.4409
fudu_1220,14.8828,-219.4802
fudu_359,132.1429,-219.5447
fudu_79,-4.7542,-219.8485
fudu_84,-28.0819,-220.3655
fudu_496,49.8226,-220.5213
fudu_1436,15.3164,-220.5558
fudu_669,36.292,-220.8771
fudu_488,24.4147,-221.0628
fudu_554,13.1305,-221.7278
fudu_666,31.8037,-222.1612
fudu_573,17.2388,-222.3494
fudu_524,123.278,-222.3673
fudu_564,8.0386,-222.7974
fudu_697,-41.7714,-223.0517
fudu_720,25.9399,-223.4524
fudu_655,68.3709,-224.3255
fudu_568,17.5029,-224.5741
fudu_696,-37.4191,-225.084
fudu_503,42.1208,-225.4912
fudu_699,-26.4784,-226.255
fudu_1229,25.2193,-226.7893
fudu_542,18.255,-227.2117
fudu_85,-37.7743,-227.4404
fudu_670,32.3344,-227.5863
fudu_396,53.0052,-227.599
fudu_472,34.46,-227.8091
fudu_490,18.2008,-227.8448
fudu_1250,146.6192,-228.6669
fudu_1417,8.4094,-229.375
fudu_1249,129.8789,-229.6236
fudu_1435,9.3228,-229.934
fudu_1437,12.8746,-230.1128
fudu_571,19.0846,-230.2593
fudu_487,29.24,-230.3698
fudu_337,100.4947,-230.7984
fudu_561,12.8007,-231.267
fudu_1251,161.9479,-231.8692
fudu_1423,9.9494,-231.9145
fudu_1425,10.3023,-232.0667
fudu_467,11.6642,-232.2091
fudu_373,20.5523,-232.2335
fudu_716,-6.8008,-232.2816
fudu_569,13.8907,-233.2387
fudu_90,-32.7089,-233.8111
fudu_87,-56.882,-233.935
fudu_400,12.513,-233.9419
fudu_652,67.615,-234.335
fudu_1253,191.8675,-234.4203
fudu_1427,16.6688,-234.6172
fudu_107,-77.3508,-234.759
fudu_543,28.7168,-235.0883
fudu_86,-54.5749,-235.1716
fudu_1224,5.4941,-235.4544
fudu_574,7.1462,-235.4674
fudu_1248,110.9774,-235.5272
fudu_704,-39.4337,-235.5853
fudu_705,-42.4402,-235.6436
fudu_1245,91.6127,-235.6946
fudu_481,27.4988,-235.7996
fudu_702,-41.1528,-235.8764
fudu_1247,82.5025,-235.975
fudu_339,79.5138,-236.1119
fudu_575,12.5236,-236.1642
fudu_338,70.7632,-236.189
fudu_333,110.651,-236.2896
fudu_703,-39.7649,-237.1277
fudu_1428,10.5414,-237.1878
fudu_358,111.6522,-237.8382
fudu_1434,6.5502,-237.9479
fudu_326,119.3495,-237.9665
fudu_1230,23.8165,-238.0407
fudu_698,-36.1665,-238.6295
fudu_325,108.3603,-238.9335
fudu_1421,12.5886,-239.259
fudu_89,-46.4534,-239.286
fudu_682,3.0684,-239.4429
fudu_1246,92.3093,-240.3319
fudu_104,-90.7381,-240.4709
fudu_701,-42.3242,-240.8129
fudu_1236,52.7796,-241.2294
fudu_399,11.1981,-241.5567
fudu_506,26.8443,-241.7214
fudu_1255,191.4347,-242.2348
fudu_336,96.8334,-242.3945
fudu_1256,166.689,-242.4192
fudu_340,76.3497,-242.5821
fudu_105,-87.3088,-242.717
fudu_715,-7.6767,-242.832
fudu_653,66.4366,-243.0948
fudu_667,22.5255,-243.1732
fudu_1430,-3.088,-243.588
fudu_357,81.0305,-243.6123
fudu_692,-32.6351,-243.842
fudu_1228,14.9703,-244.2486
fudu_1426,10.4473,-244.7174
fudu_91,-60.0112,-244.741
fudu_545,8.2003,-244.8638
fudu_544,9.3032,-244.9917
fudu_1429,2.3622,-245.1639
fudu_1242,70.1353,-245.1825
fudu_1422,4.9689,-245.4806
fudu_719,2.1411,-245.6272
fudu_106,-87.5403,-246.08
fudu_654,64.8671,-246.0928
fudu_582,8.9415,-246.1541
fudu_1254,197.6101,-246.2239
fudu_1237,31.7492,-246.2486
fudu_476,45.1572,-246.8055
fudu_130,-46.7607,-246.8295
fudu_329,125.01,-247.5172
fudu_1261,190.0909,-247.9791
fudu_470,13.5954,-249.4975
fudu_1424,5.4981,-249.5285
fudu_92,-56.3327,-249.5574
fudu_718,-10.2576,-249.7971
fudu_717,-14.997,-249.8128
fudu_367,59.2322,-249.9226
fudu_93,-61.8785,-250.0774
fudu_693,-39.9432,-250.5206
fudu_546,30.8513,-250.7517
fudu_714,-8.9032,-250.9018
fudu_469,9.2653,-251.7874
fudu_1235,33.1171,-251.945
fudu_482,25.3774,-252.3967
fudu_680,-8.5084,-252.8111
fudu_1226,6.6175,-252.8121
fudu_681,-5.7838,-252.8997
fudu_394,29.8742,-253.0207
fudu_694,-45.3792,-253.2716
fudu_1419,13.4143,-253.4794
fudu_108,-84.369,-253.5264
fudu_1238,30.5879,-254.4138
fudu_581,14.9152,-255.0019
fudu_577,28.1507,-255.0484
fudu_122,-51.5963,-255.2769
fudu_570,22.3937,-255.5234
fudu_555,0.6967,-255.5393
fudu_395,39.4855,-255.6078
fudu_572,10.9007,-255.7558
fudu_576,28.971,-256.1261
fudu_675,15.1251,-256.2368
fudu_484,29.759,-257.0457
fudu_678,-4.181,-257.424
fudu_1231,34.6835,-257.7387
fudu_372,14.7766,-257.9312
fudu_1244,70.4763,-258.0328
fudu_1418,7.7841,-258.1396
fudu_1234,36.6012,-258.1921
fudu_1239,53.5762,-258.4213
fudu_1241,45.4013,-258.6955
fudu_1420,11.8867,-258.716
fudu_672,17.7341,-258.8795
fudu_668,19.3982,-259.4048
fudu_129,-58.7735,-259.5858
fudu_486,17.3751,-260.2184
fudu_88,-59.4682,-260.2584
fudu_679,-4.3545,-260.8504
fudu_713,-6.8243,-261.02
fudu_103,-97.7497,-261.301
fudu_1260,174.6722,-262.7642
fudu_1225,9.7361,-263.4447
fudu_1258,172.4252,-263.6837
fudu_128,-47.3363,-264.3002
fudu_126,-53.5575,-264.6402
fudu_110,-89.7674,-265.0108
fudu_1252,150.4516,-265.5683
fudu_677,-2.0789,-265.7881
fudu_1243,63.8359,-266.0267
fudu_94,-73.7149,-266.0356
fudu_671,15.4039,-266.4011
fudu_121,-61.5666,-266.6352
fudu_328,121.8559,-266.7366
fudu_485,24.6474,-267.1881
fudu_102,-80.5948,-267.5997
fudu_408,10.7759,-267.8749
fudu_706,-57.1777,-268.1479
fudu_95,-78.9374,-268.2006
fudu_331,134.389,-268.3888
fudu_1257,161.0803,-269.1488
fudu_583,-3.5674,-269.2326
fudu_401,31.8276,-270.2821
fudu_109,-96.9532,-270.5124
fudu_700,-53.0268,-271.3534
fudu_407,17.0779,-271.3643
fudu_579,18.1531,-272.2078
fudu_673,11.8788,-272.3847
fudu_124,-57.1473,-273.1724
fudu_549,3.5864,-273.2034
fudu_547,38.6913,-273.2633
fudu_676,0.2926,-273.464
fudu_123,-65.8042,-273.9219
fudu_327,86.4277,-274.1175
fudu_674,5.4291,-274.4771
fudu_330,127.651,-275.2123
fudu_468,-2.1666,-276.1475
fudu_96,-85.6162,-276.8404
fudu_368,42.2055,-277.1928
fudu_1259,169.2358,-280.3243
fudu_111,-98.2081,-280.7911
fudu_1232,17.0476,-281.2153
fudu_412,100.1929,-284.702
fudu_580,3.8649,-285.3631
fudu_557,-5.1726,-286.6155
fudu_369,-12.3132,-287.2073
fudu_1240,38.4396,-288.9149
fudu_578,14.3196,-289.3268
fudu_101,-90.7211,-289.6831
fudu_712,-32.2722,-289.7401
fudu_97,-91.1717,-290.5004
fudu_115,-95.9205,-291.3403
fudu_112,-94.4276,-291.3954
fudu_402,14.357,-292.4297
fudu_100,-98.4559,-292.9917
fudu_409,9.5448,-293.0787
fudu_556,-7.9099,-293.3761
fudu_127,-65.5271,-294.214
fudu_120,-87.0678,-294.3967
fudu_332,121.6505,-295.3972
fudu_125,-73.0453,-296.8005
fudu_1233,17.1489,-298.4894
fudu_116,-99.0336,-298.8945
fudu_548,-6.096,-300.8015
fudu_711,-44.1996,-302.2273
fudu_371,-12.4591,-302.2359
fudu_98,-98.7435,-302.456
fudu_405,29.9045,-302.4762
fudu_114,-106.9894,-303.3056
fudu_117,-106.1293,-306.53
fudu_99,-100.4681,-306.9429
fudu_411,43.1805,-307.4828
fudu_413,82.6409,-307.6321
fudu_118,-107.6258,-315.0988
fudu_709,-55.6095,-320.4621
fudu_113,-133.8636,-321.2636
fudu_410,10.3865,-324.1502
fudu_403,13.4195,-329.5152
fudu_119,-119.6342,-330.597
fudu_370,-49.8352,-331.9693
fudu_708,-64.7948,-338.7093
fudu_707,-79.0412,-339.7353
fudu_404,38.6777,-343.3617
fudu_406,16.3381,-346.1469
fudu_710,-65.2858,-347.4379
