,max_sum_non_zero,min_sum_non_zero
fudu_760,155.9075,-45.9321
fudu_1384,118.4907,-45.9486
fudu_298,165.9227,-46.0707
fudu_8,223.0623,-46.1168
fudu_444,85.0858,-46.1546
fudu_1166,207.9287,-46.2846
fudu_1142,335.0382,-46.3395
fudu_417,192.0008,-46.3626
fudu_1159,212.3033,-46.4568
fudu_1385,126.1677,-46.5483
fudu_1157,210.0923,-46.9711
fudu_918,149.9933,-47.2601
fudu_1356,73.6763,-47.6816
fudu_1136,379.8888,-47.7606
fudu_947,151.1334,-48.075
fudu_892,90.126,-48.1783
fudu_931,141.8521,-48.4234
fudu_1171,267.1472,-48.4919
fudu_420,185.1947,-48.5267
fudu_1168,187.9781,-48.6406
fudu_944,148.74,-48.6796
fudu_6,218.8681,-48.7803
fudu_1367,97.7659,-49.1428
fudu_1371,107.0817,-49.2869
fudu_1139,327.3813,-49.4591
fudu_1165,199.4494,-49.5013
fudu_1386,134.3485,-49.7142
fudu_626,144.3547,-49.7608
fudu_894,103.6264,-49.7763
fudu_175,137.866,-49.8264
fudu_851,92.5212,-50.0667
fudu_767,137.4009,-50.1408
fudu_1055,62.5166,-50.1584
fudu_927,134.1819,-50.2368
fudu_893,84.3273,-50.3484
fudu_1359,80.7679,-50.4092
fudu_1134,376.3101,-50.4425
fudu_253,161.2275,-50.46
fudu_1128,175.9763,-50.5676
fudu_289,206.1473,-50.623
fudu_437,192.2371,-50.8274
fudu_1054,64.0219,-51.0102
fudu_621,105.8388,-51.4955
fudu_891,98.5493,-51.4967
fudu_926,127.8293,-51.5566
fudu_1296,169.8768,-51.5709
fudu_753,158.5398,-51.6967
fudu_435,217.9415,-51.8337
fudu_841,58.7712,-51.8511
fudu_1124,163.3822,-52.0972
fudu_634,133.879,-52.1872
fudu_9,233.1177,-52.2898
fudu_297,164.9385,-52.4158
fudu_1369,81.3861,-52.565
fudu_624,111.1545,-52.6375
fudu_1133,262.3323,-52.6432
fudu_888,103.931,-52.8082
fudu_870,80.9858,-52.9519
fudu_292,200.5981,-53.0947
fudu_895,96.37,-53.1905
fudu_1140,306.5529,-53.3267
fudu_1131,223.6473,-53.3858
fudu_930,141.4911,-53.3919
fudu_38,166.9844,-53.6039
fudu_840,61.5856,-53.688
fudu_252,154.7786,-53.7483
fudu_850,102.5868,-53.9716
fudu_921,138.5631,-54.006
fudu_1127,174.1706,-54.2578
fudu_1125,170.7643,-54.2582
fudu_1357,72.6534,-54.3568
fudu_943,135.1845,-54.3855
fudu_929,131.2644,-54.6029
fudu_251,154.2226,-54.8593
fudu_1297,139.3368,-54.933
fudu_763,135.1347,-54.9447
fudu_287,199.4458,-55.02
fudu_887,108.2136,-55.0566
fudu_49,178.6328,-55.0583
fudu_1172,237.3378,-55.0767
fudu_301,154.8073,-55.2582
fudu_869,76.7458,-55.2623
fudu_1144,340.8826,-55.3192
fudu_848,100.369,-55.6353
fudu_48,168.4721,-55.7715
fudu_933,139.9954,-55.8073
fudu_1126,164.608,-55.9399
fudu_919,148.9942,-56.1182
fudu_898,102.0657,-56.1352
fudu_1298,114.6756,-56.2469
fudu_837,38.5451,-56.5588
fudu_1278,212.8996,-56.5992
fudu_1200,159.0801,-56.7344
fudu_1185,214.7868,-56.7973
fudu_1132,237.2355,-56.8643
fudu_945,129.0783,-56.9554
fudu_889,99.7962,-57.0783
fudu_842,66.4546,-57.4323
fudu_596,127.4344,-57.7648
fudu_907,146.6156,-57.8643
fudu_932,123.8005,-58.0094
fudu_899,107.0151,-58.0631
fudu_595,124.4058,-58.0988
fudu_904,142.6719,-58.2098
fudu_1057,64.6671,-58.3419
fudu_965,52.7196,-58.4596
fudu_449,126.5554,-58.5408
fudu_448,102.3055,-58.5453
fudu_1187,199.7132,-58.6816
fudu_623,99.2821,-58.7201
fudu_1130,201.754,-58.8816
fudu_1122,132.0557,-58.9097
fudu_1395,123.0225,-58.9491
fudu_902,124.3307,-58.9961
fudu_439,125.7402,-59.0277
fudu_858,160.8815,-59.2809
fudu_1394,128.6393,-59.4
fudu_1123,145.8651,-59.7199
fudu_928,123.6322,-59.9637
fudu_896,83.8793,-60.3004
fudu_873,85.66,-60.4365
fudu_881,76.9381,-60.5615
fudu_975,73.9157,-60.563
fudu_248,185.1763,-60.7939
fudu_5,225.1896,-60.9024
fudu_1129,180.0009,-60.9078
fudu_443,77.1766,-60.9903
fudu_948,123.604,-61.026
fudu_37,174.0303,-61.1652
fudu_946,125.9785,-61.3699
fudu_890,94.9392,-61.3733
fudu_176,122.9673,-61.4389
fudu_1392,115.7363,-61.52
fudu_622,88.63,-61.6836
fudu_1393,123.1301,-61.7175
fudu_450,117.9479,-61.7616
fudu_879,84.1971,-61.8695
fudu_897,84.1038,-62.0981
fudu_177,115.2404,-62.4219
fudu_920,139.1488,-62.4231
fudu_4,230.432,-62.5124
fudu_949,110.5177,-62.5362
fudu_905,145.0015,-62.5835
fudu_1135,362.2604,-62.6227
fudu_852,93.8273,-62.7046
fudu_872,77.6521,-62.8002
fudu_19,265.956,-62.8817
fudu_167,119.402,-62.8999
fudu_247,152.7407,-63.0741
fudu_868,75.1126,-63.1238
fudu_860,144.3952,-63.4989
fudu_592,114.932,-63.5786
fudu_859,151.2692,-63.7691
fudu_1052,39.1642,-63.8162
fudu_1053,52.715,-63.8695
fudu_910,165.5124,-64.309
fudu_22,263.8266,-64.366
fudu_173,114.7415,-64.5566
fudu_1208,191.9463,-64.7401
fudu_635,123.6105,-64.8812
fudu_456,101.4415,-65.1048
fudu_966,48.4675,-65.2334
fudu_816,51.5951,-65.2346
fudu_871,67.4887,-65.473
fudu_967,54.0209,-65.4984
fudu_50,182.3856,-65.5857
fudu_172,117.8221,-65.7065
fudu_593,115.4699,-65.7903
fudu_41,169.9812,-65.8341
fudu_1304,118.971,-65.8548
fudu_838,34.8599,-66.0196
fudu_1058,56.5778,-66.1469
fudu_1188,174.6847,-66.2317
fudu_619,90.8141,-66.5488
fudu_882,77.9597,-66.6798
fudu_620,91.8579,-66.7086
fudu_958,90.5243,-66.7718
fudu_1186,226.1938,-66.8336
fudu_1204,167.2996,-66.9311
fudu_21,280.0217,-67.2399
fudu_866,81.163,-67.342
fudu_906,153.6888,-67.3622
fudu_594,108.054,-67.5011
fudu_1368,78.4107,-67.6115
fudu_976,69.7661,-67.6417
fudu_295,156.4419,-67.805
fudu_288,180.9074,-67.8299
fudu_942,112.3632,-67.9806
fudu_1396,108.8659,-68.2579
fudu_883,82.7624,-68.2795
fudu_880,70.9358,-68.3529
fudu_1273,260.5909,-68.3638
fudu_964,58.5745,-68.367
fudu_940,124.53,-68.5994
fudu_784,98.7751,-68.8354
fudu_1143,301.9693,-68.8818
fudu_861,115.9324,-68.9278
fudu_979,97.841,-69.1251
fudu_43,153.472,-69.1707
fudu_941,108.4983,-69.3214
fudu_1067,63.1437,-69.4562
fudu_917,129.4064,-69.6487
fudu_912,149.2045,-70.5653
fudu_913,158.64,-70.734
fudu_885,83.2185,-70.9585
fudu_911,134.7333,-71.0956
fudu_1119,137.7105,-71.1626
fudu_250,146.5733,-71.1671
fudu_421,224.6536,-71.4005
fudu_1300,114.9139,-71.8814
fudu_1275,205.764,-71.9756
fudu_977,63.4759,-72.041
fudu_875,68.7361,-72.4046
fudu_20,267.0753,-72.4954
fudu_785,89.8341,-72.5858
fudu_604,97.6045,-72.6134
fudu_39,159.5143,-72.6497
fudu_436,189.8598,-72.6599
fudu_1118,132.9088,-72.6784
fudu_878,78.8106,-72.7216
fudu_296,154.2762,-72.869
fudu_1268,242.0542,-73.0424
fudu_747,200.9082,-73.2182
fudu_1303,113.5192,-73.2916
fudu_1120,137.482,-73.2971
fudu_1267,255.3464,-73.342
fudu_1272,223.7249,-73.3954
fudu_1063,61.3503,-73.4665
fudu_2,224.542,-73.5226
fudu_901,104.6463,-73.6307
fudu_886,82.3244,-73.7344
fudu_1209,168.0053,-73.8076
fudu_877,78.989,-73.8902
fudu_246,162.1391,-74.3783
fudu_1274,219.9749,-74.3862
fudu_1210,168.0728,-74.4717
fudu_782,93.5251,-74.5392
fudu_1051,33.0024,-74.6155
fudu_916,146.7222,-74.7178
fudu_939,127.2034,-74.7882
fudu_1305,106.9659,-74.9612
fudu_867,68.0041,-74.9852
fudu_1068,67.5203,-75.139
fudu_42,153.3007,-75.222
fudu_616,61.961,-75.3224
fudu_457,78.0347,-75.3728
fudu_618,79.634,-75.5153
fudu_170,98.5903,-75.5749
fudu_900,87.7882,-75.6567
fudu_615,71.0841,-75.7418
fudu_311,131.149,-76.1456
fudu_617,76.8858,-76.2611
fudu_980,89.8415,-76.3854
fudu_451,110.7122,-76.4522
fudu_312,143.7651,-76.555
fudu_865,80.7018,-76.7783
fudu_748,168.4284,-76.8031
fudu_591,85.6515,-76.8384
fudu_636,107.8897,-76.9509
fudu_914,154.8162,-77.2493
fudu_1397,113.4355,-77.3343
fudu_984,125.9816,-77.3666
fudu_1,214.733,-77.4808
fudu_178,93.695,-77.4862
fudu_1190,165.8785,-77.5196
